epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,27155.3,0.46122,0.66912,0.39312,0.84546,0.96504,0.90834,0.96105,0.90613,0.96668,0.9082,0.96005,0.85121,0.33216,0.51847,0.26475,0.79723,0.0062875,0.0062875,0.0062875
77,27511,0.45933,0.66434,0.39131,0.84462,0.9651,0.90839,0.96115,0.90624,0.96662,0.90838,0.9601,0.85136,0.33192,0.51796,0.26439,0.79714,0.006238,0.006238,0.006238
78,27873.1,0.46162,0.66853,0.39198,0.84488,0.96473,0.90881,0.96122,0.90632,0.96633,0.90891,0.96013,0.85138,0.33182,0.51756,0.26406,0.79705,0.0061885,0.0061885,0.0061885
79,28225.6,0.45703,0.66333,0.3901,0.84368,0.96432,0.90912,0.9613,0.90648,0.96655,0.90866,0.96021,0.85155,0.33171,0.51726,0.26388,0.79695,0.006139,0.006139,0.006139
80,28583.2,0.45767,0.66332,0.39021,0.84397,0.96447,0.90928,0.96135,0.90657,0.96628,0.90893,0.96028,0.85156,0.33165,0.51694,0.26354,0.7969,0.0060895,0.0060895,0.0060895
81,28937.6,0.45815,0.66466,0.39033,0.84398,0.96447,0.90942,0.96137,0.90673,0.96573,0.9095,0.9603,0.85157,0.33156,0.51676,0.26328,0.79682,0.00604,0.00604,0.00604
82,29299.8,0.45689,0.66082,0.38955,0.84369,0.96497,0.90886,0.9614,0.90673,0.96626,0.90918,0.96034,0.85158,0.33144,0.51629,0.26308,0.79675,0.0059905,0.0059905,0.0059905
83,29671.7,0.45707,0.66259,0.38825,0.84358,0.96517,0.90879,0.96147,0.90691,0.96592,0.90951,0.9604,0.85164,0.33118,0.51595,0.26278,0.79663,0.005941,0.005941,0.005941
84,30025.2,0.45722,0.6611,0.38764,0.84347,0.96483,0.90932,0.96156,0.90711,0.96605,0.90957,0.96047,0.85175,0.33103,0.51575,0.26252,0.79653,0.0058915,0.0058915,0.0058915
85,30379.2,0.45794,0.66254,0.38755,0.84301,0.96496,0.9094,0.9617,0.90734,0.96598,0.90977,0.96056,0.85195,0.3307,0.51533,0.26213,0.79642,0.005842,0.005842,0.005842
86,30739.8,0.4565,0.66174,0.38699,0.84283,0.96504,0.90938,0.9617,0.90734,0.9663,0.90972,0.96064,0.85208,0.3305,0.51498,0.26195,0.79633,0.0057925,0.0057925,0.0057925
87,31113,0.45675,0.66047,0.38695,0.84302,0.96518,0.90945,0.96182,0.90743,0.9664,0.90965,0.96069,0.85219,0.33032,0.51464,0.26178,0.79624,0.005743,0.005743,0.005743
88,31465.5,0.45472,0.65813,0.3851,0.84259,0.96471,0.90991,0.96188,0.90762,0.96657,0.90954,0.96074,0.85233,0.33011,0.51418,0.2616,0.79613,0.0056935,0.0056935,0.0056935
89,31819.3,0.45477,0.6578,0.38703,0.84304,0.96474,0.90995,0.96193,0.90779,0.96613,0.91009,0.96077,0.85243,0.32997,0.51384,0.26149,0.79607,0.005644,0.005644,0.005644
90,32171.2,0.45494,0.65909,0.38589,0.84279,0.96468,0.91026,0.96198,0.90786,0.96626,0.91006,0.96077,0.85245,0.32991,0.5136,0.26128,0.79598,0.0055945,0.0055945,0.0055945
91,32524.8,0.45473,0.65767,0.38465,0.84222,0.96465,0.91032,0.96202,0.90792,0.96622,0.91024,0.96081,0.85239,0.32967,0.51338,0.2613,0.79584,0.005545,0.005545,0.005545
92,32880.1,0.45335,0.65638,0.38442,0.84166,0.96467,0.9104,0.96216,0.90802,0.96597,0.91049,0.96083,0.85246,0.32942,0.51304,0.26125,0.7957,0.0054955,0.0054955,0.0054955
93,33237.5,0.45371,0.6554,0.38403,0.84195,0.9644,0.91045,0.96215,0.90809,0.96555,0.91071,0.96082,0.85243,0.32939,0.51295,0.26136,0.79555,0.005446,0.005446,0.005446
94,33590.8,0.45358,0.65632,0.38314,0.84151,0.96427,0.91015,0.96216,0.90819,0.96539,0.91044,0.96088,0.85248,0.32911,0.51259,0.26157,0.79532,0.0053965,0.0053965,0.0053965
95,33944.9,0.45259,0.65522,0.38115,0.8415,0.96357,0.91015,0.96213,0.90818,0.96496,0.91016,0.96085,0.85248,0.32895,0.51246,0.26187,0.79506,0.005347,0.005347,0.005347
96,34298.8,0.45306,0.65492,0.38152,0.84157,0.96253,0.91033,0.96214,0.90823,0.96529,0.90941,0.96088,0.85243,0.32867,0.51231,0.26179,0.79489,0.0052975,0.0052975,0.0052975
97,34698.7,0.45316,0.65554,0.38131,0.84187,0.96078,0.91132,0.9622,0.90828,0.96273,0.91107,0.96091,0.85246,0.32845,0.51222,0.26165,0.79472,0.005248,0.005248,0.005248
98,35171.4,0.45198,0.65299,0.3812,0.84164,0.95886,0.91362,0.96224,0.90833,0.96002,0.91371,0.96095,0.85248,0.32828,0.51213,0.26134,0.79458,0.0051985,0.0051985,0.0051985
99,35806.1,0.45253,0.65381,0.3813,0.84135,0.95936,0.91436,0.96232,0.90843,0.9605,0.91442,0.96103,0.85261,0.32835,0.51189,0.26108,0.79444,0.005149,0.005149,0.005149
100,36482.1,0.45191,0.65442,0.38007,0.84144,0.96087,0.91373,0.96235,0.90852,0.96201,0.91391,0.96104,0.85259,0.32826,0.51178,0.26085,0.79432,0.0050995,0.0050995,0.0050995
101,37042.6,0.45088,0.65003,0.37909,0.8412,0.96134,0.91363,0.96241,0.90859,0.96297,0.91344,0.96112,0.85286,0.32801,0.51161,0.26048,0.7942,0.00505,0.00505,0.00505
102,37441.4,0.45053,0.65075,0.37922,0.84102,0.9628,0.91278,0.96248,0.90868,0.96386,0.91306,0.9612,0.85283,0.32782,0.51128,0.26012,0.79405,0.0050005,0.0050005,0.0050005
103,37874.5,0.45204,0.6537,0.37895,0.84083,0.96286,0.9129,0.96252,0.90889,0.96399,0.91288,0.96121,0.85302,0.32742,0.51088,0.25991,0.79385,0.004951,0.004951,0.004951
104,38306,0.44942,0.64941,0.37832,0.8406,0.96269,0.91307,0.96255,0.90896,0.96415,0.91271,0.96125,0.85317,0.32732,0.51085,0.2596,0.7937,0.0049015,0.0049015,0.0049015
