epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,24384,0.5938,1.3424,2.00046,0.90548,0.08801,0.69408,0.10266,0.09337,0.08733,0.67078,0.10016,0.07949,0.4546,1.11459,1.90998,0.85601,0.007822,0.007822,0.007822
68,24745.5,0.59495,1.3494,2.00174,0.90713,0.08802,0.69506,0.10286,0.09359,0.08731,0.67147,0.10036,0.07971,0.45402,1.11374,1.90959,0.85582,0.007789,0.007789,0.007789
69,25108.9,0.59379,1.34182,1.99984,0.90528,0.08809,0.69453,0.10315,0.09389,0.08743,0.67138,0.10067,0.07995,0.45352,1.11273,1.90931,0.85555,0.007756,0.007756,0.007756
70,25471.6,0.59312,1.34157,1.99934,0.90546,0.0887,0.68229,0.10319,0.09394,0.08741,0.67199,0.10069,0.08002,0.45307,1.11188,1.90896,0.85539,0.007723,0.007723,0.007723
71,25834.5,0.5946,1.34706,1.99898,0.90576,0.08874,0.6822,0.10326,0.09401,0.08745,0.67196,0.10077,0.08009,0.45276,1.11106,1.90867,0.8552,0.00769,0.00769,0.00769
72,26198.5,0.59262,1.34343,1.99848,0.90534,0.08874,0.68192,0.1033,0.09407,0.08744,0.67164,0.10082,0.08012,0.45249,1.11034,1.90842,0.85507,0.007657,0.007657,0.007657
73,26560.5,0.59193,1.33931,1.99968,0.90562,0.08873,0.68243,0.10354,0.09428,0.08742,0.67202,0.10104,0.08033,0.45224,1.10948,1.90813,0.85488,0.007624,0.007624,0.007624
74,26923,0.59325,1.34167,1.99839,0.90476,0.08877,0.68288,0.10379,0.09453,0.08747,0.6725,0.10129,0.0805,0.45203,1.10875,1.90787,0.85473,0.007591,0.007591,0.007591
75,27285.6,0.59199,1.33885,1.99785,0.90504,0.08877,0.68309,0.10388,0.09461,0.08747,0.67277,0.10137,0.08058,0.45173,1.10787,1.90755,0.85455,0.007558,0.007558,0.007558
76,27647.9,0.59168,1.33817,1.99743,0.90527,0.0888,0.68253,0.10387,0.09458,0.08749,0.67215,0.10134,0.08058,0.45155,1.10706,1.90724,0.85444,0.007525,0.007525,0.007525
77,28009.7,0.59174,1.34268,1.998,0.90478,0.08884,0.68235,0.10414,0.09487,0.08753,0.67196,0.10161,0.08083,0.4513,1.1062,1.90693,0.85426,0.007492,0.007492,0.007492
78,28372.2,0.59217,1.34077,1.99721,0.90469,0.0889,0.68208,0.1043,0.095,0.0876,0.67179,0.10178,0.08089,0.45093,1.10543,1.90661,0.85405,0.007459,0.007459,0.007459
79,28734.8,0.58891,1.33044,1.99592,0.90374,0.08896,0.68047,0.10442,0.09514,0.08766,0.67017,0.10189,0.08101,0.45062,1.10473,1.90639,0.85387,0.007426,0.007426,0.007426
